item_id,blur_score,is_blurry,phash,duplicate_group_id,is_duplicate
andrewyee_twitter_a7bdc128,3337.42,False,9963424cbbbabca8,128,False
andriatriv_twitter_7f378cf5,300.58,False,bfc4c0071f78f1a2,129,False
andyciordia_twitter_3617a74b,1829.71,False,ad2570f292338bcb,130,False
andywhyte_twitter_d6cdf502,492.67,False,b0cba6319963cf38,131,False
anesanmiguel_twitter_0a5dc9b0,1129.44,False,accbdb86d0269e31,132,False
angelaball_twitter_2343e6f0,661.28,False,cd3b653e06ec9ac0,133,False
angelfrancia_twitter_8342048e,290.36,False,e4975ac93672a532,134,False
angelikalattner_twitter_513bb274,380.96,False,dc075e7429ba309e,135,False
angelinamontanez_twitter_2611476e,1106.11,False,8aabf222b621d78d,136,False
anibaldelatorre_twitter_76c8fc64,2375.65,False,846a1bad6c94791f,137,False
anibalgoransky_twitter_0560b223,872.12,False,90c9a65313d4cd9f,138,False
anitakilkenny_twitter_bbd94623,831.86,False,ec9b13e4589ea629,139,False
annamioni_twitter_23ea065e,767.55,False,ed6d90a4d313964b,140,False
annapfeiffer_twitter_651a1b12,835.59,False,ce323269e18fce89,141,False
annelaurejoliot_twitter_c46fc629,1393.76,False,afd00b8dd2cb8c9c,142,False
anoli_twitter_26ee2dff,92.87,True,ec13536c1c63639e,143,False
anthonymaw_twitter_55d7788d,173.47,False,8007592c6f9f7c74,144,False
anthonystevven_twitter_a6515aab,562.96,False,bd8213fc72878dc8,145,False
anthonyvelazquez_twitter_0fcec8cc,432.76,False,9790f8ef8fa86052,146,False
antoninremond_twitter_c677a862,313.08,False,c7c53c31313e38c7,147,False
antoniodomingo_twitter_f5145330,1756.38,False,ba3a91c46e6a3b91,148,False
antoniognassi_twitter_d8c8b3e8,2728.06,False,b1fc49946f6c74a0,149,False
antoniojcuevas_twitter_fbf299f8,170.88,False,9fba38ab2b2424ec,150,False
antoniorodilla_twitter_4cca6b13,846.34,False,e043c3f68edad059,151,False
apedroza_twitter_315599f4,573.09,False,d1e1f2f84c37a158,152,False
apetersen_twitter_166fc65e,988.64,False,eba375e12d64a18c,153,False
apolorestaurante_twitter_7d136512,3664.87,False,ea4a95b59b4a6496,154,False
appleheadink_twitter_30b73000,1353.24,False,b6479cc790c99969,155,False
aquatellus_twitter_b8bb9b18,1338.96,False,bdd2d0cd8b348333,156,False
aquilafare_twitter_19d7ef97,628.35,False,a3e6967231256e8e,157,False
arahmahs_twitter_73151902,508.83,False,bda0d68e08f1f0b3,158,False
arcreyes_twitter_5e94c3f7,1667.94,False,a77180bf581db989,159,False
ariantifebi_twitter_658c510a,632.23,False,daa915688ae135db,160,False
ariefbudisantoso_twitter_4fbfff42,125.32,False,e53cb28293c78ace,161,False
ariefsatria_twitter_29378310,346.23,False,d4b483cbc8c6c96b,162,False
arlindopereira_twitter_8b57fc89,376.18,False,ea7a3fb0b8e0c843,163,False
arnauoman_twitter_70d2510e,122.5,False,9b9a646967266566,164,False
arnedevos_twitter_9a27b590,1746.42,False,d39742d8649a2e2f,165,False
arqjlsm_twitter_bd7f351d,1342.48,False,c1f7e8c783413f30,166,False
artesvisuales_twitter_3fe7bf3d,2921.39,False,bec0c1b7c05e946e,167,False
arthas_twitter_c3624ba6,1490.29,False,c53c6b1d90b76e41,168,False
artiedavis_twitter_248b89d2,472.81,False,b4f043aed303add2,169,False
arturogarrido_twitter_54cfa648,1861.64,False,fb1da17aa2781a89,170,False
artwarriors_twitter_903b14a3,2864.87,False,9a9e617165656cc6,171,False
asamur_twitter_d931c2d9,587.0,False,cfbb74e2c2649c09,172,False
asandre_twitter_7437f9e3,195.26,False,87623e7631366729,173,False
asbjornu_twitter_92180c6c,1192.17,False,e8857a939669835e,174,False
aschauerte_twitter_15bdf750,1556.53,False,c19c6e3a3d4d3827,175,False
aseroff_twitter_e4e8e18a,457.46,False,cb362185d19ee935,176,False
asesino_twitter_7d420c17,755.65,False,bee0d0b5655ab168,177,False
ashisheth_twitter_fae33871,348.05,False,92ca370d924ded69,178,False
ashokkamal_twitter_fb798db2,279.67,False,b6d2c24e9e989b31,179,False
ashreginaldevasco_twitter_c86140a5,1412.49,False,ba33ed4cb0cc9392,180,False
asiace_twitter_470cebeb,602.53,False,facbc136960cb931,181,False
asiergapa_twitter_618d65cd,490.89,False,ea6035a3279582ef,182,False
assimtulba_twitter_416b16e1,758.05,False,895374a457aa1dda,183,False
astav_twitter_cac509bf,929.49,False,a99495ce623395cb,184,False
atahualpa_twitter_692b9bf5,2614.88,False,8ccf5b96d6aa9058,185,False
atsoukalidis_twitter_8033150b,317.23,False,bcb418f3b252e383,186,False
attila_twitter_b3280f04,877.49,False,eb8d34968eb296c8,187,False
audiohard_twitter_e20ce305,1507.49,False,c13e19669c660f6d,188,False
auliazahra_twitter_f0ad7f2d,170.98,False,f85ab739c3d02629,189,False
austinhk_twitter_eac554d9,461.24,False,daa9b6aaa5a25652,190,False
austrazubkovs_twitter_8c3c0dff,126.55,False,ea075176df238631,191,False
authenticseacoast_twitter_72552d39,2380.13,False,b3f18d4ec837206d,192,False
avaarka_twitter_74d22c1e,1538.8,False,e664845a5b9ed193,193,False
avalon1982_twitter_6ca5decb,1042.92,False,f0702ef99742ca35,194,False
avatartravel_twitter_4056a625,1575.16,False,c1624e3832cf1f1f,195,False
avdrockr_twitter_a1eef6ad,515.15,False,b8f48b8b4c3ea9a1,196,False
avinashconda_twitter_d8ee2933,243.67,False,f361a8a7838ec9cc,197,False
awkingkhan_twitter_ecb3d6a2,516.6,False,c5e35aee988413b6,198,False
axknightroad_twitter_bf7b9815,238.42,False,80617f9e80616fdd,199,False
axmai_twitter_6d0a036d,1260.45,False,f5f1822c9a0e3bb4,200,False
aymanrahouhi_twitter_58865cea,1128.51,False,8fc49cb8e7836c1c,201,False
azzamalasfoor_twitter_82d36a19,169.55,False,e1d85aeb9d488995,202,False
bagusanugrah_twitter_6460cb1b,3118.11,False,ce30c1b36481577f,203,False
balexandre_twitter_ee35d228,485.38,False,e161cec6ce989a99,204,False
balkurdi_twitter_a6a30be7,3924.73,False,815f6a61b7665a0e,205,False
bandadanieis_twitter_9782f73a,237.62,False,84947369889cf5e7,206,False
banikaaron_twitter_1494f86e,190.43,False,ba56a5c94b596634,207,False
bans_twitter_a3a192fc,1340.68,False,a58972361d4bb2dc,208,False
barbaraparolini_twitter_e9f73914,538.33,False,a62dc71a4c744de3,209,False
barhatov_twitter_9cff258a,4016.82,False,aa9c8cb21fe0f80f,210,False
barneyallen_twitter_b15aa93c,56.61,True,b9f1468696989979,211,False
barrett_twitter_2e240d4f,544.39,False,ab8d6aa94d2955c6,212,False
basarpatir_twitter_eafe4259,634.59,False,c03e68c176f1e8e3,213,False
basemsal7_twitter_c63c4120,805.35,False,e5279698c96c62b3,214,False
bassplayer83_twitter_08918665,354.52,False,8a2a7955f44927ba,215,False
bboylaba_twitter_2c769dc6,1400.48,False,e49992e6393e99c4,216,False
bdbrooker_twitter_ea880264,269.21,False,9b306f6bcc2acc91,217,False
beapaxson_twitter_3831f31b,81.66,True,bb85fc9aa0d99069,218,False
bearenok_twitter_62f57b55,358.42,False,c749fee10a3de221,219,False
beaumont_twitter_04555692,2939.96,False,b412c1ed3bea905e,220,False
beauraines_twitter_f6b213d0,317.44,False,fcb43022fc50f78a,221,False
beautyluxury_twitter_4c712fa7,3017.65,False,eaa7855868a737c8,222,False
beerluver_twitter_3f6f2404,1873.93,False,d6969c0c66cd37a4,223,False
beichstaedt_twitter_6fd741b9,175.57,False,caf0e10787ab1e9a,224,False
benfinch_twitter_f04e8c14,542.5,False,b6c11c98d9ec6533,225,False
benitoroig_twitter_74872ce6,233.46,False,bba04faa055ae517,226,False
benjacobsen_twitter_2135f63a,921.59,False,afc55879863eb00e,227,False
benjamincole_twitter_5a3f07c7,697.25,False,ab981e273ddb8464,228,False
benjaminyeurch_twitter_7b7d9301,1117.44,False,afc334b57030397a,229,False
benjsellers_twitter_fdf197b0,2355.34,False,fb35945ac0c2e1d9,230,False
benkalsky_twitter_788d88b1,220.48,False,9a716c66c134dbc6,231,False
benlinders_twitter_28603ec5,390.74,False,968a6aada4adc49e,232,False
benlizzotte_twitter_6dadff48,1661.26,False,9bc007746fc526ba,233,False
benlyh_twitter_3a594911,1860.96,False,ed3232a193c38dcb,234,False
benoitdeclercq_twitter_ecdd46a2,273.14,False,ddf26225868b988f,235,False
bensonhendrix_twitter_6b42562f,1028.7,False,ed54830efab3f402,236,False
berillium04_twitter_190c88d3,1759.88,False,e61c5c42f59329ae,237,False
bertboerland_twitter_286b548b,318.93,False,f3b1ca9692ce4cc4,238,False
bertdickerson_twitter_a9898ae9,509.02,False,cc07b95c213f7239,239,False
bestnatesmithever_twitter_1d7d5960,719.35,False,a0d2b34d95c59cec,240,False
betooliveira_twitter_d55ef943,66.06,True,cca6d04e2934e5de,241,False
betsyweber_twitter_d3dff905,518.6,False,9eb152e99e439887,242,False
bexlondontown_twitter_8636b455,1504.93,False,d0d7b02c29c3ceba,243,False
