item_id,num_faces,face_confidence,face_area_ratio,face_cluster_id
annapfeiffer_twitter_651a1b12,1,0.95,0.212,-1
annelaurejoliot_twitter_c46fc629,1,0.91,0.126,-1
anoli_twitter_26ee2dff,1,0.0,0.995,-1
anthonymaw_twitter_55d7788d,1,0.95,0.995,-1
anthonystevven_twitter_a6515aab,1,0.91,0.065,-1
anthonyvelazquez_twitter_0fcec8cc,1,0.0,0.995,-1
antoninremond_twitter_c677a862,1,0.91,0.555,-1
antoniodomingo_twitter_f5145330,1,0.0,0.995,-1
antoniognassi_twitter_d8c8b3e8,1,0.9,0.096,-1
antoniojcuevas_twitter_fbf299f8,1,0.0,0.995,-1
antoniorodilla_twitter_4cca6b13,1,0.91,0.253,-1
apedroza_twitter_315599f4,1,0.0,0.99,-1
apetersen_twitter_166fc65e,1,0.93,0.305,-1
apolorestaurante_twitter_7d136512,1,0.0,0.995,-1
appleheadink_twitter_30b73000,1,0.0,0.995,-1
aquatellus_twitter_b8bb9b18,1,0.0,0.995,-1
aquilafare_twitter_19d7ef97,1,0.9,0.045,-1
arahmahs_twitter_73151902,1,0.0,0.995,-1
arcreyes_twitter_5e94c3f7,1,0.0,0.995,-1
ariantifebi_twitter_658c510a,1,0.0,0.995,-1
ariefbudisantoso_twitter_4fbfff42,1,0.92,0.388,-1
ariefsatria_twitter_29378310,1,0.0,0.995,-1
arlindopereira_twitter_8b57fc89,1,0.92,0.683,-1
arnauoman_twitter_70d2510e,1,0.94,0.319,-1
arnedevos_twitter_9a27b590,1,0.0,0.995,-1
arqjlsm_twitter_bd7f351d,3,0.937,0.372,-1
artesvisuales_twitter_3fe7bf3d,1,0.0,0.995,-1
arthas_twitter_c3624ba6,1,0.0,0.995,-1
artiedavis_twitter_248b89d2,1,0.89,0.194,-1
arturogarrido_twitter_54cfa648,1,0.0,0.992,-1
artwarriors_twitter_903b14a3,1,0.94,0.41,-1
asamur_twitter_d931c2d9,1,0.91,0.372,-1
asandre_twitter_7437f9e3,1,0.95,0.48,-1
asbjornu_twitter_92180c6c,1,0.0,0.995,-1
aschauerte_twitter_15bdf750,1,0.0,0.995,-1
aseroff_twitter_e4e8e18a,1,0.0,0.992,-1
asesino_twitter_7d420c17,1,0.0,0.995,-1
ashisheth_twitter_fae33871,1,0.94,0.95,-1
ashokkamal_twitter_fb798db2,1,0.0,0.995,-1
