item_id,top_label,top_label_score,label_scores
azzamalasfoor_twitter_82d36a19,,0,{}
bagusanugrah_twitter_6460cb1b,,0,{}
balexandre_twitter_ee35d228,,0,{}
balkurdi_twitter_a6a30be7,,0,{}
bandadanieis_twitter_9782f73a,,0,{}
banikaaron_twitter_1494f86e,,0,{}
bans_twitter_a3a192fc,,0,{}
barbaraparolini_twitter_e9f73914,,0,{}
barhatov_twitter_9cff258a,,0,{}
barneyallen_twitter_b15aa93c,,0,{}
barrett_twitter_2e240d4f,,0,{}
basarpatir_twitter_eafe4259,,0,{}
basemsal7_twitter_c63c4120,,0,{}
bassplayer83_twitter_08918665,,0,{}
bboylaba_twitter_2c769dc6,,0,{}
bdbrooker_twitter_ea880264,,0,{}
beapaxson_twitter_3831f31b,,0,{}
bearenok_twitter_62f57b55,,0,{}
beaumont_twitter_04555692,,0,{}
beauraines_twitter_f6b213d0,,0,{}
beautyluxury_twitter_4c712fa7,,0,{}
beerluver_twitter_3f6f2404,,0,{}
beichstaedt_twitter_6fd741b9,,0,{}
benfinch_twitter_f04e8c14,,0,{}
benitoroig_twitter_74872ce6,,0,{}
benjacobsen_twitter_2135f63a,,0,{}
benjamincole_twitter_5a3f07c7,,0,{}
benjaminyeurch_twitter_7b7d9301,,0,{}
benjsellers_twitter_fdf197b0,,0,{}
benkalsky_twitter_788d88b1,,0,{}
benlinders_twitter_28603ec5,,0,{}
benlizzotte_twitter_6dadff48,,0,{}
benlyh_twitter_3a594911,,0,{}
benoitdeclercq_twitter_ecdd46a2,,0,{}
bensonhendrix_twitter_6b42562f,,0,{}
berillium04_twitter_190c88d3,,0,{}
bertboerland_twitter_286b548b,,0,{}
bertdickerson_twitter_a9898ae9,,0,{}
bestnatesmithever_twitter_1d7d5960,,0,{}
betooliveira_twitter_d55ef943,,0,{}
betsyweber_twitter_d3dff905,,0,{}
bexlondontown_twitter_8636b455,,0,{}
beyoubrazil_twitter_ad1f0e62,,0,{}
bggarden_twitter_326f09eb,,0,{}
bidabooking_twitter_aa7567a0,,0,{}
billelsey_twitter_5814f951,,0,{}
billiambabble_twitter_8609b003,,0,{}
billlee_twitter_4ee8ac5b,,0,{}
billlublin_twitter_a70b31fc,,0,{}
billrousseau_twitter_f4b2878c,,0,{}
bioanarchism_twitter_206372ec,,0,{}
biverson_twitter_9a2b8909,,0,{}
blackxxxxxx_twitter_bfea4806,,0,{}
blairmosberg_twitter_e923d80e,,0,{}
bluebrain_twitter_f9c3f5f9,,0,{}
blueturtlefl_twitter_cb89dfc4,,0,{}
bobbibooker_twitter_5f0eae8b,,0,{}
bobbytravis_twitter_e46762b4,,0,{}
boffism_twitter_04350d57,,0,{}
bogohack_twitter_3a586a51,,0,{}
bolomik_twitter_7979e5a2,,0,{}
bookkeepergirl_twitter_eb8758c5,,0,{}
boostventilator_twitter_6259827c,,0,{}
booyabobby_twitter_c663c010,,0,{}
born2addiction_twitter_c70b245c,,0,{}
bornmannevan_twitter_2bbf660c,,0,{}
bpuga_twitter_cfe3902d,,0,{}
bradharvey_twitter_e5dafa7b,,0,{}
bradkoehn_twitter_2373c737,,0,{}
bradrussell_twitter_4337d051,,0,{}
bradwolff_twitter_d1a8ce9c,,0,{}
brandie_twitter_9ae27e65,,0,{}
brankko_twitter_ba0ef529,,0,{}
brefe_twitter_5ce60967,,0,{}
brendanberg_twitter_b0b8fe11,,0,{}
brendanoconnell_twitter_d3bdf78a,,0,{}
brettginsberg_twitter_3fd47014,,0,{}
brianayers_twitter_301efb45,,0,{}
briancsmith_twitter_fd243f2b,,0,{}
brianfarnham_twitter_b20a5ae1,,0,{}
brianfit_twitter_78e690a9,,0,{}
briankemm_twitter_4cafb878,,0,{}
briankurzweil_twitter_6dcee1ca,,0,{}
brianlucas_twitter_0029a561,,0,{}
brianmonroe_twitter_0d870819,,0,{}
briannagami_twitter_d995674e,,0,{}
brianskellie_twitter_b47e71c9,,0,{}
briantiede_twitter_f4eb1a91,,0,{}
brianwang_twitter_f80fb669,,0,{}
brittanyberger_twitter_fafd1913,,0,{}
brownsdon_twitter_6fe53f96,,0,{}
brucewise_twitter_2f553b6a,,0,{}
brunno_twitter_9b6a9245,,0,{}
brunoconte_twitter_a89c7d01,,0,{}
brunolaurosantos_twitter_8a716ca6,,0,{}
bryanmcanally_twitter_d3dddb06,,0,{}
bryanrapoza_twitter_be255d3b,,0,{}
bryans_twitter_7709146d,,0,{}
bryantcabrera_twitter_0f3137aa,,0,{}
bryanwelsh_twitter_57834f40,,0,{}
bscheckel_twitter_5f510043,,0,{}
btihin_twitter_883c4751,,0,{}
burovayulia_twitter_ef120fad,,0,{}
caelanhuntress_twitter_65f721c6,,0,{}
caitlingarzi_twitter_5c8de85e,,0,{}
caitlynbates_twitter_f479a375,,0,{}
calculatedstepz_twitter_e1211123,,0,{}
calebkinchlow_twitter_76d51bbc,,0,{}
calfn_twitter_615be962,,0,{}
calistoga_twitter_780e5c7e,,0,{}
calitoe_twitter_d9d9c8fd,,0,{}
calvia_twitter_ae151315,,0,{}
camillek_twitter_141eee87,,0,{}
camillerodriquez_twitter_49cf2eee,,0,{}
camillevanneer_twitter_8092d25c,,0,{}
camiloathem_twitter_7abaf108,,0,{}
campervan_twitter_0e961c09,,0,{}
cancunstudios_twitter_854fa98d,,0,{}
capitu_twitter_12d37449,,0,{}
caravanacreativa_twitter_51f26755,,0,{}
carlarozman_twitter_2a5e352b,,0,{}
carlayashiro_twitter_bb547c88,,0,{}
carlescabrer_twitter_2eea5647,,0,{}
carlospl_twitter_ea765a41,,0,{}
carlycasper_twitter_1a14e789,,0,{}
carlydamico_twitter_c4192cee,,0,{}
carmenmg5_twitter_2c305a72,,0,{}
carolyncummins_twitter_6955b25f,,0,{}
carovillalva_twitter_2801aeea,,0,{}
carriebisme_twitter_429cd920,,0,{}
carsonbelinda_twitter_84227a7e,,0,{}
carstenlange_twitter_856412cb,,0,{}
carstenpaetz_twitter_fa72e20c,,0,{}
castellani_twitter_7685121c,,0,{}
castlecruz_twitter_4e35cd74,,0,{}
catarinavarao_twitter_52dd9490,,0,{}
catchtorolav_twitter_8b9bd823,,0,{}
catinamurillo_twitter_a5bee91f,,0,{}
catturner_twitter_6111ca3b,,0,{}
cavdan_twitter_ff812e57,,0,{}
cblack_twitter_ab567e36,,0,{}
cecilialiao_twitter_8114c50f,,0,{}
cecilyarambula_twitter_6d59bf95,,0,{}
celebquote_twitter_d7d850f3,,0,{}
celebrone_twitter_653b77af,,0,{}
celiooliveira_twitter_2b50466d,,0,{}
cemtozar_twitter_5a8c30a1,,0,{}
chadnewman_twitter_2bb9c94c,,0,{}
chammccutchen_twitter_bdc83149,,0,{}
charlablue_twitter_af8d2706,,0,{}
charlielujan_twitter_e3d71bfe,,0,{}
charliemac_twitter_6eb445af,,0,{}
charyshed_twitter_04a093f2,,0,{}
cheeseberger_twitter_34af91d4,,0,{}
chekostyle_twitter_8a3ddbf1,,0,{}
chelseastark_twitter_7ed870e1,,0,{}
chertanchico_twitter_5096f5c5,,0,{}
chiarapis_twitter_1cb5831f,,0,{}
chitraagrawal_twitter_24d02a87,,0,{}
chonilla_twitter_d46bd2f9,,0,{}
chrisastall_twitter_eaa83c0b,,0,{}
chrischass_twitter_f47d1a66,,0,{}
chrisdate_twitter_391a1303,,0,{}
chrisdscottphoto_twitter_aad91686,,0,{}
chrisgiddens_twitter_7c83a65e,,0,{}
chrishartley_twitter_d9e20805,,0,{}
chrislittler_twitter_99e41bae,,0,{}
chrismontoya_twitter_90b253a4,,0,{}
chrisparkin_twitter_985edc2b,,0,{}
chrispenny_twitter_2fae5cd4,,0,{}
christiancalvino_twitter_bb6b0e90,,0,{}
christiankoestlin_twitter_a31e1fdc,,0,{}
christianperez_twitter_2299dbb0,,0,{}
christiepingvin_twitter_2ef3aeae,,0,{}
christinalauren_twitter_dca05357,,0,{}
christinehauer_twitter_673671a3,,0,{}
christinema_twitter_e6ee255a,,0,{}
christophelaurent_twitter_b8e10d8b,,0,{}
christopherbornstein_twitter_f6263ad1,,0,{}
christopherdavidkaufman_twitter_0f38535d,,0,{}
christopherhyde_twitter_97ce18ac,,0,{}
christopherichert_twitter_3527d14e,,0,{}
christopherspiewak_twitter_f754e7ef,,0,{}
chriswright_twitter_48f04754,,0,{}
chrisyoungdesign_twitter_2e8e1a45,,0,{}
chromjuwelen_twitter_44aace3c,,0,{}
cimet_twitter_d6861d2a,,0,{}
cintiamcr_twitter_05632c7c,,0,{}
cjeam_twitter_4fcdd4ff,,0,{}
ckassociati_twitter_cfea6260,,0,{}
claireisabel_twitter_00ed0ba9,,0,{}
clairewickenden_twitter_de78478c,,0,{}
claudiogiulio_twitter_81f48d78,,0,{}
claudiogonzalo_twitter_f3fc1513,,0,{}
clayton21_twitter_19bfbdc8,,0,{}
clintmccollum_twitter_ea226b12,,0,{}
cnicely_twitter_d947add4,,0,{}
coachnicole_twitter_45569184,,0,{}
coastermedia_twitter_fc01adea,,0,{}
codyo_twitter_af540ffe,,0,{}
colinmaddox_twitter_bac44134,,0,{}
colinmilligan_twitter_98b5da65,,0,{}
colinolford_twitter_dbc11135,,0,{}
colleenburns_twitter_64c360cc,,0,{}
condottasuite_twitter_20305e8c,,0,{}
conorgilmer_twitter_a284faa0,,0,{}
conradomacalossi_twitter_3f8d1cb0,,0,{}
constanceruppender_twitter_a330ea1b,,0,{}
consuelogandia_twitter_e80fad7f,,0,{}
coreyjo_twitter_15edcb16,,0,{}
corgimas_twitter_dc6ee838,,0,{}
corporatephotographer_twitter_e1f7bcef,,0,{}
countup_twitter_061dff35,,0,{}
cousindirk_twitter_f854ebf0,,0,{}
craigansell_twitter_80828ec5,,0,{}
craigdeakin_twitter_a9f984ec,,0,{}
cranesitearo_twitter_5e50cfd4,,0,{}
cris33_twitter_a30384ae,,0,{}
cristianmarimon_twitter_16bf4380,,0,{}
cristianovalim_twitter_26819ccb,,0,{}
cristinac_twitter_1d2519b8,,0,{}
cristinadirnea_twitter_ab35335a,,0,{}
croome_twitter_08dfdb29,,0,{}
crossleykim_twitter_bb6d297f,,0,{}
crowdini_twitter_285c305f,,0,{}
cskonsol_twitter_cc840591,,0,{}
csrollyson_twitter_12c8b63d,,0,{}
currobarrena_twitter_5b486596,,0,{}
curtiscavanaugh_twitter_16042cb7,,0,{}
curtisguise_twitter_bcc48f02,,0,{}
customfitonline_twitter_1717b755,,0,{}
cyclofiend_twitter_cc720166,,0,{}
cyko_twitter_d5f5c749,,0,{}
cynthiakseymour_twitter_a5bef8d5,,0,{}
daeglo_twitter_21cd683f,,0,{}
daeshinkim_twitter_05a93018,,0,{}
daimanuel_twitter_d369544c,,0,{}
dalereynolds_twitter_583a22fc,,0,{}
dallasfoodie_twitter_6cd58621,,0,{}
damianopovoleri_twitter_63ed9f56,,0,{}
danacosta_twitter_c80f1786,,0,{}
danajones_twitter_c8e78cf5,,0,{}
danbeazley_twitter_8bd3cb42,,0,{}
danbrown_twitter_5e560c3d,,0,{}
dancondon_twitter_3fb350f7,,0,{}
dandydanno_twitter_ef12be32,,0,{}
danehartwell_twitter_55c96988,,0,{}
danielabutcu_twitter_7d4b625d,,0,{}
danielcaceres_twitter_9af3b8da,,0,{}
danielebazzano_twitter_19b02179,,0,{}
danieledler_twitter_41d3d564,,0,{}
danielemoggia_twitter_87fe0fcc,,0,{}
daniellekogan_twitter_3137e165,,0,{}
danielmoreno_twitter_0eb29f76,,0,{}
danielrdossantos_twitter_1e6d964f,,0,{}
danielscott_twitter_7b207443,,0,{}
danieltaylor_twitter_a7eb9594,,0,{}
daniiloros_twitter_1b7fc941,,0,{}
