item_id,width,height,aspect_ratio,file_size_kb
asiergapa_twitter_618d65cd,400,400,1.0,31.7
assimtulba_twitter_416b16e1,400,400,1.0,30.26
astav_twitter_cac509bf,400,400,1.0,25.0
atahualpa_twitter_692b9bf5,400,400,1.0,40.17
atsoukalidis_twitter_8033150b,400,400,1.0,18.27
attila_twitter_b3280f04,400,400,1.0,28.8
audiohard_twitter_e20ce305,300,300,1.0,17.42
auliazahra_twitter_f0ad7f2d,307,307,1.0,16.03
austinhk_twitter_eac554d9,400,400,1.0,16.4
austrazubkovs_twitter_8c3c0dff,400,400,1.0,23.6
authenticseacoast_twitter_72552d39,400,400,1.0,25.0
avaarka_twitter_74d22c1e,400,400,1.0,23.31
avalon1982_twitter_6ca5decb,400,400,1.0,42.57
avatartravel_twitter_4056a625,400,400,1.0,35.0
avdrockr_twitter_a1eef6ad,400,400,1.0,23.59
avinashconda_twitter_d8ee2933,400,400,1.0,24.77
awkingkhan_twitter_ecb3d6a2,400,400,1.0,28.06
axknightroad_twitter_bf7b9815,400,400,1.0,10.45
axmai_twitter_6d0a036d,400,400,1.0,36.38
aymanrahouhi_twitter_58865cea,400,400,1.0,29.05
azzamalasfoor_twitter_82d36a19,400,400,1.0,24.26
bagusanugrah_twitter_6460cb1b,400,400,1.0,44.41
balexandre_twitter_ee35d228,400,400,1.0,19.21
balkurdi_twitter_a6a30be7,400,400,1.0,37.32
bandadanieis_twitter_9782f73a,400,400,1.0,13.25
banikaaron_twitter_1494f86e,400,400,1.0,27.66
bans_twitter_a3a192fc,224,224,1.0,12.12
barbaraparolini_twitter_e9f73914,400,400,1.0,27.91
barhatov_twitter_9cff258a,400,400,1.0,48.86
barneyallen_twitter_b15aa93c,400,400,1.0,15.49
barrett_twitter_2e240d4f,400,400,1.0,26.8
basarpatir_twitter_eafe4259,400,400,1.0,26.85
basemsal7_twitter_c63c4120,400,400,1.0,13.08
bassplayer83_twitter_08918665,400,400,1.0,26.27
bboylaba_twitter_2c769dc6,400,400,1.0,19.89
bdbrooker_twitter_ea880264,400,400,1.0,24.27
beapaxson_twitter_3831f31b,400,400,1.0,21.4
bearenok_twitter_62f57b55,400,400,1.0,25.88
beaumont_twitter_04555692,400,400,1.0,43.42
beauraines_twitter_f6b213d0,400,400,1.0,29.52
beautyluxury_twitter_4c712fa7,400,400,1.0,24.47
beerluver_twitter_3f6f2404,400,400,1.0,34.73
beichstaedt_twitter_6fd741b9,400,400,1.0,20.87
benfinch_twitter_f04e8c14,400,400,1.0,14.53
benitoroig_twitter_74872ce6,400,400,1.0,18.74
benjacobsen_twitter_2135f63a,400,400,1.0,35.39
benjamincole_twitter_5a3f07c7,375,375,1.0,17.56
benjaminyeurch_twitter_7b7d9301,250,250,1.0,17.8
benjsellers_twitter_fdf197b0,400,400,1.0,20.3
benkalsky_twitter_788d88b1,400,400,1.0,10.37
benlinders_twitter_28603ec5,400,400,1.0,30.31
benlizzotte_twitter_6dadff48,400,400,1.0,41.25
benlyh_twitter_3a594911,400,400,1.0,18.82
benoitdeclercq_twitter_ecdd46a2,400,400,1.0,17.99
bensonhendrix_twitter_6b42562f,400,400,1.0,34.01
berillium04_twitter_190c88d3,400,400,1.0,45.42
bertboerland_twitter_286b548b,400,400,1.0,20.57
bertdickerson_twitter_a9898ae9,400,400,1.0,27.65
bestnatesmithever_twitter_1d7d5960,400,400,1.0,28.04
betooliveira_twitter_d55ef943,400,400,1.0,16.09
betsyweber_twitter_d3dff905,400,400,1.0,25.64
bexlondontown_twitter_8636b455,400,400,1.0,37.03
beyoubrazil_twitter_ad1f0e62,400,400,1.0,18.09
bggarden_twitter_326f09eb,400,400,1.0,36.53
bidabooking_twitter_aa7567a0,400,400,1.0,22.78
billelsey_twitter_5814f951,400,400,1.0,23.88
billiambabble_twitter_8609b003,400,400,1.0,29.26
billlee_twitter_4ee8ac5b,400,400,1.0,28.79
billlublin_twitter_a70b31fc,400,400,1.0,31.12
billrousseau_twitter_f4b2878c,400,400,1.0,32.63
