model,calibrator,threshold,tp,fp,fn,tn,precision,recall,f1
gb,isotonic,0.22,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.23,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.24000000000000002,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.25,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.26,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.27,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.28,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.29000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.3,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.31,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.32,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.33,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.34,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.35000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.36000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.37,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.38,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.39,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.4,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.41000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.42000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.43,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.44,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.45,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.46,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.47000000000000003,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.48000000000000004,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.49,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,isotonic,0.5,984,0,223,461701,1.0,0.8152444076222038,0.8982199908717481
gb,sigmoid,0.01,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
gb,sigmoid,0.02,1058,1341,149,460360,0.441017090454356,0.8765534382767192,0.5867997781475319
