model,threshold,tp,fp,fn,tn,precision,recall,f1
rf,0.16,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.17,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.18000000000000002,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.19,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.2,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.21000000000000002,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.22,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.23,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.24000000000000002,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.25,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.26,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.27,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.28,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.29000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.3,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.31,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.32,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.33,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.34,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.35000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.36000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.37,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.38,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.39,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.4,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.41000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.42000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.43,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.44,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.45,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.46,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.47000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.48000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.49,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
rf,0.5,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.01,1207,8127,0,453574,0.12931219198628668,1.0,0.22901053031021726
extra_trees,0.02,1205,7986,2,453715,0.13110651724513112,0.9983429991714996,0.23177534141180997
extra_trees,0.03,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.04,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.05,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.060000000000000005,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.06999999999999999,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.08,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.09,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.09999999999999999,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.11,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.12,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.13,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.14,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.15000000000000002,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.16,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.17,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.18000000000000002,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.19,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.2,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.21000000000000002,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.22,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.23,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.24000000000000002,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.25,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.26,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.27,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.28,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.29000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.3,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.31,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.32,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.33,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.34,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.35000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.36000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.37,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.38,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.39,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.4,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.41000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.42000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.43,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.44,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.45,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.46,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.47000000000000003,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
extra_trees,0.48000000000000004,986,0,221,461701,1.0,0.8169014084507042,0.8992248062015504
