profile_id_a,profile_id_b,sim_score
googleplus_fefejohnson,instagram_fefejohnson,1.0
instagram_ezaonite,twitter_ezaonite,1.0
instagram_bonycolin,twitter_bonycolin,1.0
instagram_evandroarruda,twitter_evandroarruda,1.0
instagram_jjbaybee,twitter_jjbaybee,1.0
instagram_jkdesignarts,twitter_jkdesignarts,1.0
instagram_vfowler,twitter_vfowler,1.0
instagram_jl_redondo,twitter_jl_redondo,1.0
instagram_jmcarlyle,twitter_jmcarlyle,1.0
instagram_mycroft221,twitter_mycroft221,1.0
instagram_domingosmoreira,twitter_domingosmoreira,1.0
instagram_adamsheikh,twitter_adamsheikh,1.0
instagram_danreid,twitter_danreid,1.0
instagram_adavidmax,twitter_adavidmax,1.0
instagram_baturayozden,twitter_baturayozden,1.0
instagram_shinoanna,twitter_shinoanna,1.0
instagram_citizen87erased,twitter_citizen87erased,1.0
instagram_danweese,googleplus_danweese,1.0
instagram_adders,twitter_adders,1.0
instagram_1tuesdaygirl,twitter_1tuesdaygirl,1.0
instagram_tshuguenin,twitter_tshuguenin,1.0
instagram_miss_assmann,twitter_miss_assmann,1.0
instagram_misterlasku,twitter_misterlasku,1.0
instagram_misslisagfrench,twitter_misslisagfrench,1.0
instagram_mishiewishie,twitter_mishiewishie,1.0
instagram_danielemurra,twitter_danielemurra,1.0
instagram_danielerossi,twitter_danielerossi,1.0
instagram_blacktar,twitter_blacktar,1.0
instagram_yugioh2500,twitter_yugioh2500,1.0
instagram_thomasmckenzie,twitter_thomasmckenzie,1.0
instagram_urmilesh,twitter_urmilesh,1.0
instagram_curlyhost,twitter_curlyhost,1.0
googleplus_divergentimage,twitter_divergentimage,1.0
instagram_dimplemonkey,twitter_dimplemonkey,1.0
instagram_adamparnes,twitter_adamparnes,1.0
instagram_adamwohl,twitter_adamwohl,1.0
instagram_dimyume,twitter_dimyume,1.0
instagram_danielloyola,googleplus_danielloyola,1.0
instagram_danielloyola,twitter_danielloyola,1.0
twitter_danielloyola,googleplus_danielloyola,1.0
instagram_dhawit,twitter_dhawit,1.0
instagram_adamcoomes,twitter_adamcoomes,1.0
instagram_maja_larsson,twitter_maja_larsson,1.0
instagram_kdnewman,twitter_kdnewman,1.0
instagram_curiosocia,twitter_curiosocia,1.0
instagram_uam,twitter_uam,1.0
instagram_txsjohnny,twitter_txsjohnny,1.0
instagram_jdperkins1369,twitter_jdperkins1369,1.0
instagram_getpalmd,twitter_getpalmd,1.0
instagram_vmshreddy,twitter_vmshreddy,1.0
instagram_fresholdidea,twitter_fresholdidea,1.0
instagram_bryanboyer,twitter_bryanboyer,1.0
instagram_yiyinglu,twitter_yiyinglu,1.0
instagram_bryangarvin,twitter_bryangarvin,1.0
instagram_bryanjones,twitter_bryanjones,1.0
instagram_buckdelonge,twitter_buckdelonge,1.0
instagram_mirabalj,twitter_mirabalj,1.0
instagram_bucibolebo,twitter_bucibolebo,1.0
instagram_zecool,twitter_zecool,1.0
googleplus_jagomf,instagram_jagomf,1.0
instagram_mircodimarcello,twitter_mircodimarcello,1.0
googleplus_jagomf,twitter_jagomf,1.0
instagram_jagomf,twitter_jagomf,1.0
instagram_agustinamate,twitter_agustinamate,1.0
instagram_indiedo,twitter_indiedo,1.0
instagram_j_faulkner,twitter_j_faulkner,1.0
instagram_javierarmentia,twitter_javierarmentia,1.0
instagram_javieramosantos,twitter_javieramosantos,1.0
instagram_rosalieruardy,twitter_rosalieruardy,1.0
instagram_brentalexander,twitter_brentalexander,1.0
instagram_bradfriedman,twitter_bradfriedman,1.0
instagram_bradhuss,twitter_bradhuss,1.0
instagram_yvsajay,twitter_yvsajay,1.0
instagram_bradyocallahan,twitter_bradyocallahan,1.0
instagram_bramwittendorp,twitter_bramwittendorp,1.0
instagram_brandondesign,twitter_brandondesign,1.0
instagram_aguedamarcia,twitter_aguedamarcia,1.0
instagram_kcnickerson,twitter_kcnickerson,1.0
instagram_yowwray,twitter_yowwray,1.0
instagram_isunkes,twitter_isunkes,1.0
instagram_isuruyapa,twitter_isuruyapa,1.0
instagram_isfullofcrap,twitter_isfullofcrap,1.0
instagram_jmurphpix,twitter_jmurphpix,1.0
instagram_brettweaver,twitter_brettweaver,1.0
instagram_breizhell,twitter_breizhell,1.0
twitter_rossbelmont,instagram_rossbelmont,1.0
instagram_roseguccione,twitter_roseguccione,1.0
instagram_butlerblue2,twitter_butlerblue2,1.0
instagram_herbieman,twitter_herbieman,1.0
instagram_hassamtariq,twitter_hassamtariq,1.0
instagram_yefeth,twitter_yefeth,1.0
googleplus_hasanalikhattak,instagram_hasanalikhattak,1.0
instagram_jathanism,twitter_jathanism,1.0
instagram_hashbackhashish,twitter_hashbackhashish,1.0
googleplus_gloriamanole,instagram_gloriamanole,1.0
instagram_jcarlossoto,twitter_jcarlossoto,1.0
instagram_globe_trottah,twitter_globe_trottah,1.0
instagram_globomarketing,twitter_globomarketing,1.0
instagram_glodyman,twitter_glodyman,1.0
instagram_jcastrodiaz,twitter_jcastrodiaz,1.0
