experiment,scenario,seed,generation,objective_val_cost,val_cost,t_m,t_r,c_promote,c_demote
r1,A_current,2025,1,207.26,565.26,0.9959,0.8821,0.9655,0.3825
r1,A_current,2025,2,191.74,549.74,0.9985,0.6578,0.9734,0.4071
r1,A_current,2025,3,184.60000000000002,542.6,0.999,0.8166,0.9655,0.3825
r1,A_current,2025,4,184.60000000000002,542.6,0.999,0.8166,0.9655,0.3825
r1,A_current,2025,5,184.38,542.38,0.9973,0.8152,0.9591,0.5287
r1,A_current,2025,6,184.3,542.3,0.9973,0.8152,0.957,0.52
r1,A_current,2025,7,184.3,542.3,0.9973,0.8152,0.957,0.52
r1,A_current,2025,8,184.28,542.28,0.9973,0.809,0.957,0.54
r1,A_current,2025,9,184.26,542.26,0.9973,0.8152,0.957,0.5702
r1,A_current,2025,10,184.26,542.26,0.9973,0.8152,0.957,0.5702
r1,A_current,2025,11,184.26,542.26,0.9973,0.8152,0.957,0.5702
r1,A_current,2025,12,184.26,542.26,0.9973,0.8152,0.957,0.5702
r1,A_current,2025,13,184.26,542.26,0.9973,0.8152,0.957,0.5702
r1,A_current,2025,14,184.26,542.26,0.9973,0.8152,0.957,0.5702
r1,A_current,2025,15,184.10000000000002,542.1,0.999,0.8152,0.957,0.6121
r1,A_current,2025,16,184.10000000000002,542.1,0.999,0.8152,0.957,0.6121
r1,A_current,2025,17,184.10000000000002,542.1,0.999,0.8152,0.957,0.6121
r1,A_current,2025,18,183.92000000000002,541.92,0.999,0.8152,0.957,0.6351
r1,A_current,2025,19,183.54000000000002,541.54,0.9973,0.818,0.957,0.6439
r1,A_current,2025,20,183.54000000000002,541.54,0.9973,0.818,0.957,0.6439
r1,A_current,2025,21,183.54000000000002,541.54,0.9973,0.818,0.957,0.6439
r1,A_current,2025,22,183.54000000000002,541.54,0.9973,0.818,0.957,0.6439
r1,A_current,2025,23,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,24,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,25,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,26,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,27,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,28,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,29,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,30,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,31,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,32,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,33,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,34,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,35,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,36,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,37,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,38,183.44,541.44,0.999,0.818,0.957,0.6464
r1,A_current,2025,39,183.44,541.44,0.999,0.818,0.957,0.6464
