Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
"ÜT: 40.709425,-74.002985","üt: 40.709425,-74.002985","40.709425,-74.002985",coordinates,1,40.709425,-74.002985
,,,unknown,0,,
,,,unknown,0,,
Montreal,montreal,montreal,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Mexico,mexico,mexico,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"California, USA","california, usa","california, usa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"iPhone: -43.536060,172.569702","iphone: -43.536060,172.569702","-43.53606,172.569702",coordinates,1,-43.53606,172.569702
,,,unknown,0,,
In the woods,in the woods,in the woods,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"iPhone: 28.030743,-81.919441","iphone: 28.030743,-81.919441","28.030743,-81.919441",coordinates,1,28.030743,-81.919441
"New York, NY","new york, ny","new york, ny",text_location,1,,
"New York, NY","new york, ny","new york, ny",text_location,1,,
,,,unknown,0,,
INTJ-ville,intj-ville,intj-ville,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Los Angeles, CA","los angeles, ca","los angeles, ca",text_location,1,,
,,,unknown,0,,
"Durham, NC","durham, nc","durham, nc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Edinburgh,edinburgh,edinburgh,text_location,1,,
"Southampton, UK","southampton, uk","southampton, uk",text_location,1,,
BKK | UTP | EDI,bkk | utp | edi,bkk  utp  edi,text_location,1,,
"potenza, via sicilia 67","potenza, via sicilia 67","potenza, via sicilia 67",text_location,1,,
"California, USA","california, usa","california, usa",text_location,1,,
"Medford, OR","medford, or","medford, or",text_location,1,,
Gainesville & Orlando Florida,gainesville & orlando florida,gainesville  orlando florida,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Пинск,пинск,пинск,text_location,1,,
,,,unknown,0,,
Cesena (FC) Italy,cesena (fc) italy,cesena fc italy,text_location,1,,
,,,unknown,0,,
"Austin, Texas","austin, texas","austin, texas",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Dublin,dublin,dublin,text_location,1,,
España,españa,españa,text_location,1,,
,,,unknown,0,,
"Vancouver, BC","vancouver, bc","vancouver, bc",text_location,1,,
Pittsburgh,pittsburgh,pittsburgh,text_location,1,,
"Indianapolis, IN","indianapolis, in","indianapolis, in",text_location,1,,
Wurundjeri land (Melbourne),wurundjeri land (melbourne),wurundjeri land melbourne,text_location,1,,
"Washington, USA","washington, usa","washington, usa",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
"Washington, DC","washington, dc","washington, dc",text_location,1,,
,,,unknown,0,,
West Sussex and London,west sussex and london,west sussex and london,text_location,1,,
,,,unknown,0,,
"De Pere, WI","de pere, wi","de pere, wi",text_location,1,,
,,,unknown,0,,
Mardel ♥,mardel,mardel,text_location,1,,
VIRGINIA,virginia,virginia,text_location,1,,
"Onalaska, WI","onalaska, wi","onalaska, wi",text_location,1,,
,,,unknown,0,,
Sivas,sivas,sivas,text_location,1,,
"Fort Lauderdale, Florida","fort lauderdale, florida","fort lauderdale, florida",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Monterrey,monterrey,monterrey,text_location,1,,
,,,unknown,0,,
"Boca Raton, FL","boca raton, fl","boca raton, fl",text_location,1,,
Indonesia,indonesia,indonesia,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Austin, TX, USA","austin, tx, usa","austin, tx, usa",text_location,1,,
,,,unknown,0,,
Vernazza Cinque Terre Italy,vernazza cinque terre italy,vernazza cinque terre italy,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Brazil,brazil,brazil,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
Berlin,berlin,berlin,text_location,1,,
"Mar del Plata, Argentina","mar del plata, argentina","mar del plata, argentina",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Dallas,TX","dallas,tx","dallas,tx",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Poland, Warsaw","poland, warsaw","poland, warsaw",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"London, England","london, england","london, england",text_location,1,,
"38.578481,-90.493095","38.578481,-90.493095","38.578481,-90.493095",coordinates,1,38.578481,-90.493095
UK,uk,uk,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Columbus, Indiana","columbus, indiana","columbus, indiana",text_location,1,,
"Vienna, VA","vienna, va","vienna, va",text_location,1,,
