source_id,source_platform,rank,target_id,target_platform,fused_cosine,clip_cosine,face_cosine,clip_l2,face_l2,is_same_person
abo1bs,twitter,5,romulocostacurta,twitter,0.905326,0.831256,0.979397,0.580938,0.202992,False
abo1bs,twitter,6,prettypinkponies,twitter,0.904797,0.832003,0.977591,0.57965,0.211705,False
abo1bs,twitter,7,gleamland,twitter,0.900445,0.821518,0.979372,0.597464,0.203118,False
abo1bs,twitter,8,amberhewitt,twitter,0.900208,0.817716,0.9827,0.603794,0.186013,False
abo1bs,twitter,9,klou,twitter,0.900136,0.861125,0.939147,0.52702,0.348864,False
abo1bs,twitter,10,ryanketterman,twitter,0.892292,0.795202,0.989382,0.639996,0.145728,False
abo1bs,twitter,11,lagonzi,twitter,0.891759,0.792169,0.991348,0.644718,0.131548,False
abo1bs,twitter,12,consuelogandia,twitter,0.890485,0.79264,0.988332,0.643988,0.152764,False
abo1bs,twitter,13,yackeroeni,twitter,0.88857,0.800382,0.976758,0.63185,0.215599,False
abo1bs,twitter,14,sabrinamiso,twitter,0.885861,0.785349,0.986372,0.655212,0.165093,False
abo1bs,twitter,15,derekameyer,twitter,0.88142,0.778271,0.984569,0.665926,0.175676,False
abo1bs,twitter,16,erikmacpherson,twitter,0.880821,0.787219,0.974423,0.652351,0.226174,False
abo1bs,twitter,17,bookkeepergirl,twitter,0.880796,0.778885,0.982706,0.665003,0.185977,False
abo1bs,twitter,18,masoudhaghi,twitter,0.879638,0.794087,0.965189,0.641737,0.263858,False
abo1bs,twitter,19,homesacrosstheworldcom,twitter,0.879457,0.788051,0.970862,0.651075,0.241404,False
abo1bs,twitter,20,indumental,twitter,0.878631,0.789353,0.967908,0.649071,0.253344,False
acanadianfoodie,twitter,1,gwynnekostin,twitter,0.899826,0.841378,0.958274,0.563245,0.288881,False
acanadianfoodie,twitter,2,katmandelstein,twitter,0.893852,0.831967,0.955737,0.579712,0.297532,False
acanadianfoodie,twitter,3,lynnbrownca,twitter,0.890327,0.819433,0.96122,0.600944,0.278495,False
acanadianfoodie,twitter,4,angelaball,twitter,0.88056,0.804507,0.956612,0.625288,0.294577,False
acanadianfoodie,twitter,5,camillerodriquez,twitter,0.876245,0.800995,0.951495,0.63088,0.311465,False
acanadianfoodie,twitter,6,mcdessureault,twitter,0.86379,0.78332,0.944261,0.658301,0.333885,False
acanadianfoodie,twitter,7,justkate,twitter,0.857948,0.785152,0.930744,0.655512,0.372171,False
acanadianfoodie,twitter,8,ilariadefilippo,twitter,0.8563,0.754953,0.957647,0.700067,0.291043,False
acanadianfoodie,twitter,9,pjbeyer,twitter,0.849843,0.743786,0.9559,0.71584,0.296986,False
acanadianfoodie,twitter,10,ladewig,twitter,0.842158,0.73209,0.952226,0.731997,0.309109,False
acanadianfoodie,twitter,11,torid,twitter,0.840224,0.729752,0.950696,0.735184,0.314021,False
acanadianfoodie,twitter,12,tommyflovildengebretsen,twitter,0.840045,0.731526,0.948564,0.732768,0.320738,False
acanadianfoodie,twitter,13,natbuehler,twitter,0.839749,0.737285,0.942213,0.724865,0.339961,False
acanadianfoodie,twitter,14,chrisparkin,twitter,0.839462,0.720944,0.95798,0.747068,0.289897,False
acanadianfoodie,twitter,15,rebeccamaguire,twitter,0.839186,0.72973,0.948642,0.735214,0.320492,False
acanadianfoodie,twitter,16,msjuliars,twitter,0.837623,0.742209,0.933037,0.718041,0.36596,False
acanadianfoodie,twitter,17,rachelrvincent,twitter,0.833524,0.717291,0.949758,0.751943,0.316993,False
acanadianfoodie,twitter,18,jessicafajans,twitter,0.832046,0.713006,0.951086,0.75762,0.312776,False
acanadianfoodie,twitter,19,michelejmartin,twitter,0.830574,0.716562,0.944587,0.752911,0.332907,False
acanadianfoodie,twitter,20,dougfrancis,twitter,0.829798,0.722628,0.936967,0.744811,0.355059,False
acarrillo,twitter,1,jeansanchez,twitter,0.894061,0.803654,0.984467,0.626651,0.176255,False
acarrillo,twitter,2,usmanarif,twitter,0.892231,0.799972,0.98449,0.6325,0.176128,False
acarrillo,twitter,3,edersonsandre,twitter,0.892017,0.804836,0.979199,0.624763,0.203967,False
acarrillo,twitter,4,dlosuna,twitter,0.891707,0.797097,0.986316,0.637028,0.165434,False
acarrillo,twitter,5,jithinjb,twitter,0.891196,0.798386,0.984006,0.635003,0.178853,False
acarrillo,twitter,6,ksquad,twitter,0.890512,0.798098,0.982927,0.635456,0.184786,False
acarrillo,twitter,7,edwardloh,twitter,0.887467,0.791611,0.983323,0.645584,0.182628,False
acarrillo,twitter,8,sudol,twitter,0.885115,0.785807,0.984423,0.654512,0.176508,False
acarrillo,twitter,9,gurumef,twitter,0.884666,0.788578,0.980755,0.650265,0.196189,False
acarrillo,twitter,10,darrymorales,twitter,0.884431,0.782759,0.986103,0.659153,0.166713,False
acarrillo,twitter,11,jlat85,twitter,0.882944,0.789207,0.976682,0.649297,0.215954,False
acarrillo,twitter,12,frankt,twitter,0.88292,0.789275,0.976564,0.649192,0.216497,False
acarrillo,twitter,13,aferrandini,twitter,0.881797,0.781645,0.981948,0.66084,0.190008,False
acarrillo,twitter,14,haivo,twitter,0.881741,0.790312,0.97317,0.647592,0.231646,False
acarrillo,twitter,15,shintaroabe,twitter,0.880857,0.781893,0.979821,0.660466,0.200895,False
acarrillo,twitter,16,rodrigoluna,twitter,0.880723,0.782953,0.978493,0.658857,0.2074,False
acarrillo,twitter,17,jiteshpanchal,twitter,0.880146,0.777218,0.983074,0.667505,0.18399,False
acarrillo,twitter,18,germanogurgel,twitter,0.879982,0.784913,0.975051,0.655877,0.223379,False
acarrillo,twitter,19,tomromano,twitter,0.879925,0.779552,0.980297,0.663999,0.198508,False
acarrillo,twitter,20,sunanulhuda,twitter,0.878408,0.774358,0.982459,0.671777,0.187304,False
ackleysuicide,twitter,1,anamagal,twitter,0.879951,0.84086,0.919041,0.564164,0.40239,False
ackleysuicide,twitter,2,alexandrakozlova,twitter,0.844706,0.718868,0.970544,0.749843,0.242719,False
ackleysuicide,twitter,3,misstammyum,twitter,0.844634,0.72213,0.967138,0.74548,0.256368,False
ackleysuicide,twitter,4,niuz,twitter,0.835005,0.705975,0.964034,0.766844,0.268201,False
ackleysuicide,twitter,5,tuyetanh,twitter,0.834151,0.706297,0.962006,0.766425,0.27566,False
ackleysuicide,twitter,6,judicaellevalin,twitter,0.83257,0.696817,0.968323,0.778696,0.251703,False
ackleysuicide,twitter,7,cnicely,twitter,0.83027,0.697282,0.963258,0.778097,0.271081,False
ackleysuicide,twitter,8,kateylee,twitter,0.827847,0.691505,0.96419,0.785487,0.26762,False
ackleysuicide,twitter,9,avalon1982,twitter,0.824297,0.693961,0.954634,0.782355,0.30122,False
ackleysuicide,twitter,10,developit,twitter,0.824249,0.678328,0.97017,0.802087,0.244253,False
ackleysuicide,twitter,11,barbaraparolini,twitter,0.820277,0.679193,0.96136,0.801008,0.277992,False
